Corpus,participants,Stat,Age,Activity,Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,Verbs_Utt,FREQ_types,FREQ_tokens,Language,Group,Age(Month),MLU50_Words,MLU50_Morphemes,TNW_50,Clauses_per_sentence_50,NDW_100,*-PRESP,*-PL,*-POSS,*-PAST,*-S3
SALT Expository,88,Mean,11.48,Exposition,55.56,53.77,11.65,12.75,2.3,174.97,620.41,English,TD,11;0 to 12;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Expository,88,SD,0.29,Exposition,25.73,24.68,1.84,1.98,0.38,49.21,296.38,English,TD,11;0 to 12;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Expository,57,Mean,12.48,Exposition,51.44,50.12,11.84,13,2.3,173.4,585.39,English,TD,12;0 to 13;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Expository,57,SD,0.29,Exposition,19.95,19.43,1.66,1.79,0.36,43.09,218.29,English,TD,12;0 to 13;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Expository,34,Mean,13.35,Exposition,59.53,58.03,12.27,13.48,2.31,192.82,698.09,English,TD,13;0 to 14;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Expository,34,SD,0.29,Exposition,36.4,36.07,1.8,1.93,0.39,62.41,438.37,English,TD,13;0 to 14;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Expository,34,Mean,14.81,Exposition,62.38,60.59,12.5,13.77,2.33,209.38,775.24,English,TD,14;0 to 15;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Expository,34,SD,0.23,Exposition,39.02,38.28,2.24,2.43,0.35,78.36,537.58,English,TD,14;0 to 15;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Expository,65,Mean,15.38,Exposition,57.54,55.95,12.9,14.24,2.39,204.38,718.38,English,TD,15;0 to 15;11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Expository,65,SD,0.29,Exposition,25.39,24.88,2.04,2.23,0.38,56.53,348.12,English,TD,15;0 to 15;11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Expository,27,Mean,16.60,Exposition,66.37,64.48,12.75,14.01,2.42,214.41,786.22,English,TD,16;1 to 17;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Expository,27,SD,0.33,Exposition,39.48,38.79,2.36,2.5,0.47,67.64,407.61,English,TD,16;1 to 17;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Expository,31,Mean,17.46,Exposition,70.68,67.77,12.88,14.18,2.37,227.68,872.23,English,TD,17;0 to 18;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Expository,31,SD,0.33,Exposition,34.77,33.25,2.38,2.57,0.37,71.3,485.57,English,TD,17;0 to 18;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Expository,18,Mean,18.33,Exposition,76.39,74,12.61,13.95,2.36,234.78,927.33,English,TD,18;0 to 18;9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Expository,18,SD,0.26,Exposition,63.17,60.88,2.33,2.53,0.46,120.83,812.5,English,TD,18;0 to 18;9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,16,Mean,4.31,Picture narrative,57.75,56.69,5.66,6.12,1.13,103.06,321.25,English,TD,4;0 to 4;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,16,SD,0.14,Picture narrative,6.1,5.85,0.95,0.99,0.28,23.02,64.86,English,TD,4;0 to 4;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,34,Mean,4.75,Picture narrative,71.74,71,6.62,7.08,1.31,134.44,474.53,English,TD,4;6 to 5;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,34,SD,0.13,Picture narrative,16.71,16.54,0.99,1.03,0.16,30.62,146.66,English,TD,4;6 to 5;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,32,Mean,5.32,Picture narrative,75.63,75.25,7.06,7.56,1.36,142.19,532.94,English,TD,5;0 to 5;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,32,SD,0.17,Picture narrative,26.77,26.53,0.73,0.71,0.13,37.54,200.64,English,TD,5;0 to 5;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,32,Mean,5.68,Picture narrative,75.13,74.69,7.27,7.81,1.38,141.25,547.41,English,TD,5;6 to 6;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,32,SD,0.17,Picture narrative,24.83,24.54,1.02,1.05,0.19,34.39,203.11,English,TD,5;6 to 6;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,22,Mean,6.22,Picture narrative,70.23,70.09,7.04,7.63,1.35,136.64,496.55,English,TD,6;0 to 6;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,22,SD,0.17,Picture narrative,18.11,18.19,0.88,0.88,0.13,25.76,146.85,English,TD,6;0 to 6;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,37,Mean,6.76,Picture narrative,74.3,73.84,7.09,7.69,1.37,145.24,527.38,English,TD,6;6 to 7;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,37,SD,0.16,Picture narrative,22.09,21.85,1.13,1.2,0.17,35.13,184.57,English,TD,6;6 to 7;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,27,Mean,7.33,Picture narrative,74.37,74.04,8,8.7,1.48,155.26,592.74,English,TD,7;0 to 7;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,27,SD,0.19,Picture narrative,20.13,20.06,1.06,1.14,0.21,30.18,170.91,English,TD,7;0 to 7;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,36,Mean,7.71,Picture narrative,74.17,74.03,7.7,8.39,1.47,153.97,572.89,English,TD,7;6 to 8;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,36,SD,0.18,Picture narrative,16.27,16.12,1.07,1.2,0.17,27.06,157.24,English,TD,7;6 to 8;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,20,Mean,8.25,Picture narrative,73.8,73.65,7.87,8.65,1.51,155.65,583.05,English,TD,8;0 to 8;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,20,SD,0.16,Picture narrative,13.21,13.26,1,1.2,0.15,20.19,147.26,English,TD,8;0 to 8;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,37,Mean,8.78,Picture narrative,79.59,79.51,8.09,8.8,1.59,175.76,652.41,English,TD,8;6 to 9;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,37,SD,0.15,Picture narrative,24.14,24.17,0.98,1.08,0.17,46.56,236.24,English,TD,8;6 to 9;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,30,Mean,9.28,Picture narrative,76.93,76.9,8.5,9.27,1.67,173.37,660.37,English,TD,9;0 to 9;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,30,SD,0.17,Picture narrative,20.1,20.12,0.85,0.97,0.16,36.55,220.33,English,TD,9;0 to 9;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,26,Mean,9.71,Picture narrative,78,77.92,8.08,8.97,1.55,166.69,640.62,English,TD,9;6 to 10;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT ENNI,26,SD,0.16,Picture narrative,26.37,26.37,1.06,1.2,0.18,33.19,274.72,English,TD,9;6 to 10;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,36,Mean,5.37,Narration,37.03,34.25,6.2,6.85,1.18,78.25,199.97,English,TD,5;2 to 5;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,36,SD,0.11,Narration,32.59,30.15,0.96,1,0.17,47.09,168.26,English,TD,5;2 to 5;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,52,Mean,5.74,Narration,36.04,33.38,6.47,7.1,1.22,75.87,209.04,English,TD,5;6 to 6;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,52,SD,0.16,Narration,15.86,15.09,1.54,1.61,0.2,25.67,92.31,English,TD,5;6 to 6;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
