File_DB,Language,Corpus,Code,Age(Month),Sex,Group,Race,SES,Role,Education,Custom_field,Design,Activity,Group...7,Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,MLU50_Utts,MLU50_Words,MLU50_Morphemes,FREQ_types,FREQ_tokens,NDW_100,VOCD_D_optimum_average,Verbs_Utt,Word_Errors,Utt_Errors,retracing,repetition,DSS_Utts,DSS,IPSyn_Utts,IPSyn_Total,mor_Words,*-PRESP,in,on,*-PL,*-POSS,u-cop,det:art,*-PAST,*-3S,irr-3S,u-aux,c-cop,c-aux,Total_non_zero_mors,participants,Stat
NA,eng,SALT Conversation,NA,6;0 to 6;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,94,87.82,5.11,5.64,NA,NA,NA,159.32,435.03,NA,NA,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,Mean
NA,eng,SALT Conversation,NA,6;0 to 6;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,20,18,2.77,3,NA,NA,NA,51,85,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,Min
NA,eng,SALT Conversation,NA,6;0 to 6;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,278,257,8.15,9.26,NA,NA,NA,321,1417,NA,NA,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,Max
NA,eng,SALT Conversation,NA,6;0 to 6;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,62.69,59.46,1.11,1.22,NA,NA,NA,65.32,285.23,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,SD
NA,eng,SALT Conversation,NA,6;6 to 7;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,93.88,87.87,5.67,6.22,NA,NA,NA,166.88,483.4,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,Mean
NA,eng,SALT Conversation,NA,6;6 to 7;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,19,17,3.53,4.02,NA,NA,NA,44,87,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,Min
NA,eng,SALT Conversation,NA,6;6 to 7;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,263,246,9.45,10.16,NA,NA,NA,377,1532,NA,NA,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,Max
NA,eng,SALT Conversation,NA,6;6 to 7;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,66.69,62.8,1.17,1.3,NA,NA,NA,73.35,337.65,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,SD
NA,eng,SALT Conversation,NA,7;0 to 7;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,136.93,128.58,5.48,6.04,NA,NA,NA,213.64,685.73,NA,NA,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,Mean
NA,eng,SALT Conversation,NA,7;0 to 7;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,14,12,3.52,3.92,NA,NA,NA,34,60,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,Min
NA,eng,SALT Conversation,NA,7;0 to 7;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,443,427,8.61,9.68,NA,NA,NA,385,1818,NA,NA,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,Max
NA,eng,SALT Conversation,NA,7;0 to 7;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,86.66,81.83,1.17,1.29,NA,NA,NA,87.35,428.84,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,SD
NA,eng,SALT Conversation,NA,7;6 to 8;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,85.82,78.79,5.68,6.32,NA,NA,NA,166.62,451.28,NA,NA,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,Mean
NA,eng,SALT Conversation,NA,7;6 to 8;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,47,33,2.57,2.8,NA,NA,NA,79,154,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,Min
NA,eng,SALT Conversation,NA,7;6 to 8;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,222,214,9.02,10.04,NA,NA,NA,403,1800,NA,NA,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,Max
NA,eng,SALT Conversation,NA,7;6 to 8;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,43.79,40.81,1.51,1.66,NA,NA,NA,64.95,303.07,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,SD
NA,eng,SALT Conversation,NA,8;0 to 8;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,129.87,119.96,5.95,6.59,NA,NA,NA,229.23,712.46,NA,NA,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,Mean
NA,eng,SALT Conversation,NA,8;0 to 8;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,40,34,3.05,3.35,NA,NA,NA,93,202,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,Min
NA,eng,SALT Conversation,NA,8;0 to 8;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,266,242,8.48,9.23,NA,NA,NA,411,1541,NA,NA,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,Max
NA,eng,SALT Conversation,NA,8;0 to 8;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,58.23,55.66,1.11,1.23,NA,NA,NA,79.93,360.39,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,SD
NA,eng,SALT Conversation,NA,8;6 to 9;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,138.72,129.65,6.28,6.92,NA,NA,NA,236.53,779.05,NA,NA,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,Mean
NA,eng,SALT Conversation,NA,8;6 to 9;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,33,32,3.95,4.33,NA,NA,NA,105,201,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,Min
NA,eng,SALT Conversation,NA,8;6 to 9;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,379,358,8.29,9.14,NA,NA,NA,458,2209,NA,NA,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,Max
NA,eng,SALT Conversation,NA,8;6 to 9;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,87.14,81.4,1.01,1.11,NA,NA,NA,91.37,462.69,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,SD
NA,eng,SALT Conversation,NA,9;0 to 9;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,142.94,133.08,6.19,6.84,NA,NA,NA,239.08,797.54,NA,NA,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,Mean
