File_DB	Language	Corpus	Code	Age(Month)	Sex	Group	Race	SES	Role	Education	Custom_field	Design	Activity	Group...7	Total_Utts	MLU_Utts	MLU_Words	MLU_Morphemes	MLU50_Utts	MLU50_Words	MLU50_Morphemes	FREQ_types	FREQ_tokens	NDW_100	VOCD_D_optimum_average	Verbs_Utt	Word_Errors	Utt_Errors	retracing	repetition	DSS_Utts	DSS	mor_Words	*-PRESP	in	on	*-PL	*-POSS	u-cop	det:art	*-PAST	*-3S	irr-3S	u-aux	c-cop	c-aux	Total_non_zero_mors	participants	Stat
NA	eng	SALT Conversation	NA	9;6 to 9;11	NA	TD	NA	NA	NA	NA	NA	NA	Conversation	NA	28.07	26.73	1.11	1.26	NA	NA	NA	33.76	115.56	NA	NA	0.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	SD
NA	eng	SALT Conversation	NA	10;9 to 11;3	NA	TD	NA	NA	NA	NA	NA	NA	Conversation	NA	233.68	218.88	6.14	6.74	NA	NA	NA	355.36	1346.2	NA	NA	1.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	Mean
NA	eng	SALT Conversation	NA	10;9 to 11;3	NA	TD	NA	NA	NA	NA	NA	NA	Conversation	NA	45.46	42.61	1.28	1.41	NA	NA	NA	65.41	376.89	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	SD
NA	eng	SALT Conversation	NA	12;9 to 13;3	NA	TD	NA	NA	NA	NA	NA	NA	Conversation	NA	229.93	212.04	5.78	6.38	NA	NA	NA	330.37	1233.63	NA	NA	1.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	Mean
NA	eng	SALT Conversation	NA	12;9 to 13;3	NA	TD	NA	NA	NA	NA	NA	NA	Conversation	NA	47.86	40.1	1	1.06	NA	NA	NA	61.65	338.85	NA	NA	0.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	SD
NA	eng	SALT Persuasion	NA	12;10 to 13;11	NA	TD	NA	NA	NA	NA	NA	NA	Persuasion	NA	21.04	19.68	15.22	16.82	NA	NA	NA	119.36	286.21	NA	NA	2.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	Mean
NA	eng	SALT Persuasion	NA	12;10 to 13;11	NA	TD	NA	NA	NA	NA	NA	NA	Persuasion	NA	11.75	11.15	4.04	4.48	NA	NA	NA	40.45	153.2	NA	NA	0.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	SD
NA	eng	SALT Persuasion	NA	14;7 to 15;0	NA	TD	NA	NA	NA	NA	NA	NA	Persuasion	NA	29.8	28.87	16.25	17.99	NA	NA	NA	164.2	462.47	NA	NA	3.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	Mean
NA	eng	SALT Persuasion	NA	14;7 to 15;0	NA	TD	NA	NA	NA	NA	NA	NA	Persuasion	NA	17.66	17.32	2.25	2.47	NA	NA	NA	55.77	278.3	NA	NA	0.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	SD
NA	eng	SALT Persuasion	NA	15;0 to 15;11	NA	TD	NA	NA	NA	NA	NA	NA	Persuasion	NA	27.92	26.62	16.35	18.03	NA	NA	NA	150.96	421.44	NA	NA	3.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	Mean
NA	eng	SALT Persuasion	NA	15;0 to 15;11	NA	TD	NA	NA	NA	NA	NA	NA	Persuasion	NA	13.85	14.02	3.45	3.8	NA	NA	NA	49.54	204.28	NA	NA	0.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	SD
NA	eng	SALT Persuasion	NA	16;1 to 17;0	NA	TD	NA	NA	NA	NA	NA	NA	Persuasion	NA	35.38	33.5	16.66	18.31	NA	NA	NA	174.38	528.31	NA	NA	3.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	Mean
NA	eng	SALT Persuasion	NA	16;1 to 17;0	NA	TD	NA	NA	NA	NA	NA	NA	Persuasion	NA	19.4	18.27	3.35	3.66	NA	NA	NA	56.76	250.42	NA	NA	0.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	SD
NA	eng	SALT Persuasion	NA	17;0 to 18;0	NA	TD	NA	NA	NA	NA	NA	NA	Persuasion	NA	32.24	31.31	16.83	18.55	NA	NA	NA	173.4	505.53	NA	NA	3.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	Mean
NA	eng	SALT Persuasion	NA	17;0 to 18;0	NA	TD	NA	NA	NA	NA	NA	NA	Persuasion	NA	17.25	16.6	4.21	4.7	NA	NA	NA	63.45	255.72	NA	NA	0.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	SD
NA	eng	SALT Persuasion	NA	18;0 to 18;9	NA	TD	NA	NA	NA	NA	NA	NA	Persuasion	NA	34.89	33.95	16.88	18.68	NA	NA	NA	185.11	546.58	NA	NA	3.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	Mean
NA	eng	SALT Persuasion	NA	18;0 to 18;9	NA	TD	NA	NA	NA	NA	NA	NA	Persuasion	NA	18.21	17.88	3.77	4.11	NA	NA	NA	63.12	269.14	NA	NA	0.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	SD
NA	eng	SALT Expository	NA	11;0 to 12;0	NA	TD	NA	NA	NA	NA	NA	NA	Exposition	NA	55.56	53.77	11.65	12.75	NA	NA	NA	174.97	620.41	NA	NA	2.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88	Mean
NA	eng	SALT Expository	NA	11;0 to 12;0	NA	TD	NA	NA	NA	NA	NA	NA	Exposition	NA	25.73	24.68	1.84	1.98	NA	NA	NA	49.21	296.38	NA	NA	0.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88	SD
NA	eng	SALT Expository	NA	12;0 to 13;0	NA	TD	NA	NA	NA	NA	NA	NA	Exposition	NA	51.44	50.12	11.84	13	NA	NA	NA	173.4	585.39	NA	NA	2.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57	Mean
NA	eng	SALT Expository	NA	12;0 to 13;0	NA	TD	NA	NA	NA	NA	NA	NA	Exposition	NA	19.95	19.43	1.66	1.79	NA	NA	NA	43.09	218.29	NA	NA	0.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57	SD
NA	eng	SALT Expository	NA	13;0 to 14;0	NA	TD	NA	NA	NA	NA	NA	NA	Exposition	NA	59.53	58.03	12.27	13.48	NA	NA	NA	192.82	698.09	NA	NA	2.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	Mean
